objectid,objectnumber,classification,culture,division,title,accessionyear,placeid,placename,lat,lon,personid,personculture,personname,personrole,uniquepageviews_2008,uniquepageviews_2009,uniquepageviews_2010,uniquepageviews_2011,uniquepageviews_2012,uniquepageviews_2013,uniquepageviews_2014,uniquepageviews_2015,uniquepageviews_2016,uniquepageviews_2017,uniquepageviews_2018,edits_2008,edits_2009,edits_2010,edits_2011,edits_2012,edits_2013,edits_2014,edits_2015,edits_2016,edits_2017,edits_2018,studycenterviews_2008,studycenterviews_2009,studycenterviews_2010,studycenterviews_2011,studycenterviews_2012,studycenterviews_2013,studycenterviews_2014,studycenterviews_2015,studycenterviews_2016,studycenterviews_2017,studycenterviews_2018,conservation_2008,conservation_2009,conservation_2010,conservation_2011,conservation_2012,conservation_2013,conservation_2014,conservation_2015,conservation_2016,conservation_2017,conservation_2018,pageviews_2008,pageviews_2009,pageviews_2010,pageviews_2011,pageviews_2012,pageviews_2013,pageviews_2014,pageviews_2015,pageviews_2016,pageviews_2017,pageviews_2018,moves_2008,moves_2009,moves_2010,moves_2011,moves_2012,moves_2013,moves_2014,moves_2015,moves_2016,moves_2017,moves_2018
28501,M26410,Multiples,American,Modern and Contemporary Art,Flux Divorce Box with Flux Divorce Album (cut version),2005,0,,0,0,19174,American,Geoffrey Hendricks,Artist,,2,0,0,12,22,17,20,27,31,49,,,,1,3,4,0,1,0,0,1,,,,,2,0,0,2,0,2,1,,,,,,,,,,1,,,2,0,0,15,26,19,22,28,35,53,,6,0,0,8,9,0,10,6,7,3
28842,M26412,Multiples,American,Modern and Contemporary Art,Jewelry Fluxkit,2005,0,,0,0,25858,American,Alice Hutchins,Artist,,1,0,0,1,8,3,3,0,0,1,,,,1,4,3,0,1,0,0,1,,,,,2,0,0,0,0,0,2,,,,,,,,,1,,,,1,0,0,1,10,3,3,0,0,1,,4,0,0,9,5,1,0,3,0,11
29152,M26465,Multiples,American,Modern and Contemporary Art,Fluxtest: Determine the Values,2005,0,,0,0,17454,American,Jock Reynolds,Artist,,,,,3,13,0,1,,,,,,,1,3,3,0,1,0,0,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,3,13,0,2,,,,,4,0,0,6,8,0,0,2,0,10
51983,M26247.B,Prints,American,Modern and Contemporary Art,Flux Stationery: Hand in Glove (envelope),2004,0,,0,0,33967,American,George Maciunas,Artist,,1,0,0,7,4,6,5,7,4,4,,,,1,3,3,,,,,,,,,,1,0,0,0,0,2,,,,,,,,,,,,,,1,0,0,8,5,6,6,7,4,4,,3,0,0,3,9,5,0,0,8,
94652,1995.263.A-D,Multiples,German,Modern and Contemporary Art,Silver Broom and Broom without Bristles,1995,0,,0,0,27839,German,Joseph Beuys,Artist,,,,2,2,7,6,5,7,26,32,,,,,5,1,1,2,,,,,,,,3,0,0,0,0,1,1,,,,,,,,,,,,,,,4,2,7,6,5,8,27,40,,4,0,0,3,,,,,,
51985,M26247.A,Prints,American,Modern and Contemporary Art,Flux Stationery: Hand in Glove (paper),2004,0,,0,0,33967,American,George Maciunas,Artist,,1,0,1,1,4,0,4,2,2,2,,,,1,3,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,0,2,1,4,0,4,2,2,2,,3,0,0,3,9,5,0,0,10,
52106,M26248.A,Prints,American,Modern and Contemporary Art,Flux Stationery: Torso in Fur Coat (paper),2004,0,,0,0,33967,American,George Maciunas,Artist,,,,,,1,1,0,3,2,1,,,,1,3,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,1,0,3,2,1,,3,0,0,3,9,5,0,0,9,
52861,2005.1,Sculpture,German,Modern and Contemporary Art,"First Workset, Number 34:  Arm Piece",2005,0,,0,0,29293,German,Franz Erhard Walther,Artist,,,,,4,0,1,,,,,,,,,1,2,0,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,10,0,1,,,,,,,,1,4,0,1,0,0,0,11
69783,M25973,Audiovisual Works,American,Modern and Contemporary Art,Record,2004,0,,0,0,27791,American,Bruce Nauman,Artist,,,1,3,4,1,1,4,12,4,1,,,,1,3,2,0,2,0,0,1,,,,1,2,0,0,0,0,1,,,,,,,,,,1,,,,,2,6,6,1,1,4,14,4,1,,4,0,5,10,2,0,2,3,10,3
185469,2009.6,Prints,American,Modern and Contemporary Art,Royal Road Test,2009,0,,0,0,28417,American,Edward Ruscha,Artist,,11,1,1,11,8,6,6,3,,,,33,0,0,3,1,0,2,,,,,,,1,3,0,0,0,0,1,,,,,,,,,,,,,,15,2,2,13,10,10,6,3,,,,10,0,4,17,3,10,4,0,4,
